Order_ID,Customer_ID,Product_ID,Product_Name,Quantity,Order_Date,Delivery_Date,Order_Status,Payment_Method,Total_Amount,Shipping_Address,City,State,Country,Postal_Code,Customer_Email,Customer_Phone
ORD001,CUST001,PROD001,Wireless Mouse,2,11/1/2024,11/5/2024,Delivered,Credit Card,1200,123 Main St,Bangalore,Karnataka,India,560001,customer1@email.com,+91 9876543210
ORD002,CUST002,PROD002,Smartphone,1,11/2/2024,11/7/2024,Delivered,Debit Card,20000,456 Oak Rd,Chennai,Tamil Nadu,India,600001,customer2@email.com,+91 8765432109
ORD003,CUST003,PROD003,Laptop,1,11/3/2024,11/10/2024,In Transit,Credit Card,45000,789 Pine Ave,Mumbai,Maharashtra,India,400001,customer3@email.com,+91 7654321098
ORD004,CUST001,PROD004,Headphones,1,11/4/2024,11/9/2024,Delivered,UPI,1500,123 Main St,Bangalore,Karnataka,India,560001,customer1@email.com,+91 9876543210
ORD005,CUST004,PROD005,Smartwatch,1,11/5/2024,11/12/2024,Delivered,Debit Card,8000,321 Maple Dr,Hyderabad,Telangana,India,500001,customer4@email.com,+91 6543210987
ORD006,CUST002,PROD006,Tablet,1,11/6/2024,11/13/2024,In Transit,Credit Card,12000,456 Oak Rd,Chennai,Tamil Nadu,India,600001,customer2@email.com,+91 8765432109
ORD007,CUST005,PROD007,Wireless Charger,2,11/7/2024,11/14/2024,Delivered,UPI,2000,654 Birch Ln,Delhi,Delhi,India,110001,customer5@email.com,+91 5432109876
ORD008,CUST003,PROD008,Monitor,1,11/8/2024,11/15/2024,Delivered,Debit Card,25000,789 Pine Ave,Mumbai,Maharashtra,India,400001,customer3@email.com,+91 7654321098
ORD009,CUST006,PROD009,Printer,1,11/9/2024,11/16/2024,In Transit,Credit Card,10000,135 Cedar Blvd,Kolkata,West Bengal,India,700001,customer6@email.com,+91 4321098765
ORD010,CUST007,PROD010,Keyboard,1,11/10/2024,11/17/2024,Delivered,Debit Card,2500,987 Elm St,Noida,Uttar Pradesh,India,201301,customer7@email.com,+91 3210987654
ORD011,CUST008,PROD011,Speaker,1,11/11/2024,11/18/2024,Delivered,UPI,3000,246 Oak Ln,Pune,Maharashtra,India,411001,customer8@email.com,+91 2109876543
ORD012,CUST009,PROD012,Camera,1,11/12/2024,11/19/2024,In Transit,Credit Card,35000,753 Birch Ave,Surat,Gujarat,India,395001,customer9@email.com,+91 1098765432
ORD013,CUST010,PROD013,Microwave,1,11/13/2024,11/20/2024,Delivered,Debit Card,6000,864 Pine St,Jaipur,Rajasthan,India,302001,customer10@email.com,+91 9876543123
ORD014,CUST001,PROD014,Air Conditioner,1,11/14/2024,11/21/2024,Delivered,Credit Card,30000,123 Main St,Bangalore,Karnataka,India,560001,customer1@email.com,+91 9876543210
ORD015,CUST002,PROD015,Refrigerator,1,11/15/2024,11/22/2024,Delivered,UPI,22000,456 Oak Rd,Chennai,Tamil Nadu,India,600001,customer2@email.com,+91 8765432109
ORD016,CUST003,PROD016,Vacuum Cleaner,1,11/16/2024,11/23/2024,In Transit,Debit Card,5000,789 Pine Ave,Mumbai,Maharashtra,India,400001,customer3@email.com,+91 7654321098
ORD017,CUST004,PROD017,Blender,1,11/17/2024,11/24/2024,Delivered,Credit Card,3500,321 Maple Dr,Hyderabad,Telangana,India,500001,customer4@email.com,+91 6543210987
ORD018,CUST005,PROD018,Table Lamp,1,11/18/2024,11/25/2024,Delivered,UPI,1500,654 Birch Ln,Delhi,Delhi,India,110001,customer5@email.com,+91 5432109876
ORD019,CUST006,PROD019,Electric Kettle,1,11/19/2024,11/26/2024,Delivered,Debit Card,2500,135 Cedar Blvd,Kolkata,West Bengal,India,700001,customer6@email.com,+91 4321098765
ORD020,CUST007,PROD020,Food Processor,1,11/20/2024,11/27/2024,In Transit,Credit Card,7000,987 Elm St,Noida,Uttar Pradesh,India,201301,customer7@email.com,+91 3210987654
ORD021,CUST008,PROD021,Coffee Maker,1,11/21/2024,11/28/2024,Delivered,Debit Card,3500,246 Oak Ln,Pune,Maharashtra,India,411001,customer8@email.com,+91 2109876543
ORD022,CUST009,PROD022,Electric Grill,1,11/22/2024,11/29/2024,Delivered,Credit Card,4000,753 Birch Ave,Surat,Gujarat,India,395001,customer9@email.com,+91 1098765432
ORD023,CUST010,PROD023,Toaster,1,11/23/2024,11/30/2024,In Transit,UPI,1200,864 Pine St,Jaipur,Rajasthan,India,302001,customer10@email.com,+91 9876543123
ORD024,CUST001,PROD024,Recliner Chair,1,11/24/2024,12/1/2024,Delivered,Credit Card,15000,123 Main St,Bangalore,Karnataka,India,560001,customer1@email.com,+91 9876543210
ORD025,CUST002,PROD025,Standing Fan,1,11/25/2024,12/2/2024,Delivered,Debit Card,3000,456 Oak Rd,Chennai,Tamil Nadu,India,600001,customer2@email.com,+91 8765432109
ORD026,CUST003,PROD026,Smart TV,1,11/26/2024,12/3/2024,In Transit,UPI,35000,789 Pine Ave,Mumbai,Maharashtra,India,400001,customer3@email.com,+91 7654321098
ORD027,CUST004,PROD027,Air Purifier,1,11/27/2024,12/4/2024,Delivered,Credit Card,8000,321 Maple Dr,Hyderabad,Telangana,India,500001,customer4@email.com,+91 6543210987
ORD028,CUST005,PROD028,Water Purifier,1,11/28/2024,12/5/2024,Delivered,Debit Card,12000,654 Birch Ln,Delhi,Delhi,India,110001,customer5@email.com,+91 5432109876
ORD029,CUST006,PROD029,Electric Fan,1,11/29/2024,12/6/2024,Delivered,UPI,2500,135 Cedar Blvd,Kolkata,West Bengal,India,700001,customer6@email.com,+91 4321098765
ORD030,CUST007,PROD030,Induction Cooker,1,11/30/2024,12/7/2024,Delivered,Credit Card,6000,987 Elm St,Noida,Uttar Pradesh,India,201301,customer7@email.com,+91 3210987654
ORD031,CUST008,PROD031,Juicer,1,12/1/2024,12/8/2024,Delivered,Debit Card,4000,246 Oak Ln,Pune,Maharashtra,India,411001,customer8@email.com,+91 2109876543
